LANGUAGE	ACCURACY	HAMMING	EVENT_ACCURACY	EVENT_HAMMING	F1-SCORE	PRECISION	RECALL
italy	57.5	93.1	28.3	87.8	85.4	87.8	86.5
uk	41	90	20.4	86	83.5	86	85.8
norway	43.7	90.6	25.3	86.7	83.9	86.7	81.9
france	34.6	86.9	24	84.6	80.9	84.6	82.7
hungary	64.2	95.3	50	91.7	90.5	91.7	90.3
poland	29.5	90.1	26.2	89.5	87.2	89.5	89.2
belgium	54	92.7	36	88.3	87.4	88.3	86.9
netherlands	43.3	90.9	47.8	91.1	92.2	91.1	94.2
